"QuestionID","Item","IntendedDomain","Predicted_Domain","Confidence"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Auditory",0.342410743236542
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Cognitive",0.245012059807777
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Sense of Control",0.137801736593246
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Intrusive",0.100990630686283
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Quality of Life",0.0893303230404854
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Emotional",0.0415949076414108
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Relaxation",0.0268246773630381
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Sleep",0.0160349141806364
2,"How strong or loud was your tinnitus?","Intrusive","Auditory",0.327741682529449
2,"How strong or loud was your tinnitus?","Intrusive","Intrusive",0.198510348796844
2,"How strong or loud was your tinnitus?","Intrusive","Sense of Control",0.143470510840416
2,"How strong or loud was your tinnitus?","Intrusive","Quality of Life",0.120491877198219
2,"How strong or loud was your tinnitus?","Intrusive","Cognitive",0.101000502705574
2,"How strong or loud was your tinnitus?","Intrusive","Emotional",0.0512456521391869
2,"How strong or loud was your tinnitus?","Intrusive","Relaxation",0.0321665033698082
2,"How strong or loud was your tinnitus?","Intrusive","Sleep",0.0253729075193405
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Auditory",0.301454246044159
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Intrusive",0.228168934583664
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Quality of Life",0.13544574379921
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Sense of Control",0.117696270346642
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Cognitive",0.0959638133645058
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Emotional",0.0911007970571518
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Relaxation",0.016372399404645
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Sleep",0.0137978214770555
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Sense of Control",0.454070210456848
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Auditory",0.186028972268105
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Quality of Life",0.129884466528893
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Cognitive",0.0938183218240738
