"QuestionID","Item","IntendedDomain","Predicted_Domain","Confidence","Intended_Domain_Definition","Predicted_Domain_Definition"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.919681251049042,"Measures how much the tinnitus intrudes on consciousness and daily life.","Intrusive"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Assesses the extent to which tinnitus interferes with sleep.",0.89169305562973,"Measures how much the tinnitus intrudes on consciousness and daily life.","Sleep"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Evaluates problems hearing clearly due to tinnitus.",0.726904928684235,"Measures how much the tinnitus intrudes on consciousness and daily life.","Auditory"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Determines how much control the patient feels they have over their tinnitus.",0.695408463478088,"Measures how much the tinnitus intrudes on consciousness and daily life.","Sense of Control"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.277446895837784,"Measures how much the tinnitus intrudes on consciousness and daily life.","Quality of Life"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.206292554736137,"Measures how much the tinnitus intrudes on consciousness and daily life.","Cognitive"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Examines the impact of tinnitus on relaxation and quiet activities.",0.140763014554977,"Measures how much the tinnitus intrudes on consciousness and daily life.","Relaxation"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00806715525686741,"Measures how much the tinnitus intrudes on consciousness and daily life.","Emotional"
2,"How strong or loud was your tinnitus?","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.886356592178345,"Measures how much the tinnitus intrudes on consciousness and daily life.","Intrusive"
2,"How strong or loud was your tinnitus?","Intrusive","Evaluates problems hearing clearly due to tinnitus.",0.827775657176971,"Measures how much the tinnitus intrudes on consciousness and daily life.","Auditory"
2,"How strong or loud was your tinnitus?","Intrusive","Assesses the extent to which tinnitus interferes with sleep.",0.279540508985519,"Measures how much the tinnitus intrudes on consciousness and daily life.","Sleep"
2,"How strong or loud was your tinnitus?","Intrusive","Examines the impact of tinnitus on relaxation and quiet activities.",0.175912097096443,"Measures how much the tinnitus intrudes on consciousness and daily life.","Relaxation"
2,"How strong or loud was your tinnitus?","Intrusive","Determines how much control the patient feels they have over their tinnitus.",0.131025716662407,"Measures how much the tinnitus intrudes on consciousness and daily life.","Sense of Control"
2,"How strong or loud was your tinnitus?","Intrusive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0445585213601589,"Measures how much the tinnitus intrudes on consciousness and daily life.","Quality of Life"
2,"How strong or loud was your tinnitus?","Intrusive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.0282825455069542,"Measures how much the tinnitus intrudes on consciousness and daily life.","Cognitive"
2,"How strong or loud was your tinnitus?","Intrusive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00242822081781924,"Measures how much the tinnitus intrudes on consciousness and daily life.","Emotional"
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.970023691654205,"Measures how much the tinnitus intrudes on consciousness and daily life.","Intrusive"
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Assesses the extent to which tinnitus interferes with sleep.",0.965421199798584,"Measures how much the tinnitus intrudes on consciousness and daily life.","Sleep"
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.86962890625,"Measures how much the tinnitus intrudes on consciousness and daily life.","Quality of Life"
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Evaluates problems hearing clearly due to tinnitus.",0.793755292892456,"Measures how much the tinnitus intrudes on consciousness and daily life.","Auditory"
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Determines how much control the patient feels they have over their tinnitus.",0.413009166717529,"Measures how much the tinnitus intrudes on consciousness and daily life.","Sense of Control"
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Examines the impact of tinnitus on relaxation and quiet activities.",0.372337132692337,"Measures how much the tinnitus intrudes on consciousness and daily life.","Relaxation"
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.210855469107628,"Measures how much the tinnitus intrudes on consciousness and daily life.","Cognitive"
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0771249160170555,"Measures how much the tinnitus intrudes on consciousness and daily life.","Emotional"
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.971997618675232,"Determines how much control the patient feels they have over their tinnitus.","Sense of Control"
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Measures how much the tinnitus intrudes on consciousness and daily life.",0.655007541179657,"Determines how much control the patient feels they have over their tinnitus.","Intrusive"
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Evaluates problems hearing clearly due to tinnitus.",0.610811293125153,"Determines how much control the patient feels they have over their tinnitus.","Auditory"
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.506443440914154,"Determines how much control the patient feels they have over their tinnitus.","Quality of Life"
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Examines the impact of tinnitus on relaxation and quiet activities.",0.284067511558533,"Determines how much control the patient feels they have over their tinnitus.","Relaxation"
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.208206996321678,"Determines how much control the patient feels they have over their tinnitus.","Cognitive"
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0661323815584183,"Determines how much control the patient feels they have over their tinnitus.","Emotional"
4,"Did you feel in control in regard to your tinnitus?","Sense of Control","Assesses the extent to which tinnitus interferes with sleep.",0.0455327183008194,"Determines how much control the patient feels they have over their tinnitus.","Sleep"
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.969546794891357,"Determines how much control the patient feels they have over their tinnitus.","Sense of Control"
5,"How easy was it for you to cope with your tinnitus?","Sense of Control","Evaluates problems hearing clearly due to tinnitus.",0.737513601779938,"Determines how much control the patient feels they have over their tinnitus.","Auditory"
