"QuestionID","Item","IntendedDomain","Predicted_Domain","Confidence","Intended_Domain_Definition","Predicted_Domain_Definition"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.919681251049042,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Assesses the extent to which tinnitus interferes with sleep.",0.89169305562973,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Evaluates problems hearing clearly due to tinnitus.",0.726904928684235,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Auditory: Evaluates problems hearing clearly due to tinnitus."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Determines how much control the patient feels they have over their tinnitus.",0.695408463478088,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.277446895837784,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.206292554736137,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Examines the impact of tinnitus on relaxation and quiet activities.",0.140763014554977,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.00806715525686741,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
2,"How strong or loud was your tinnitus?","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.886356592178345,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
2,"How strong or loud was your tinnitus?","Intrusive","Evaluates problems hearing clearly due to tinnitus.",0.827775657176971,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Auditory: Evaluates problems hearing clearly due to tinnitus."
