"QuestionID","Item","IntendedDomain","Predicted_Domain","Confidence","Intended_Domain_Definition","Predicted_Domain_Definition"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Assesses the extent to which tinnitus interferes with sleep.",0.318099498748779,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sleep: Assesses the extent to which tinnitus interferes with sleep."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.312636286020279,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Evaluates problems hearing clearly due to tinnitus.",0.167423918843269,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Auditory: Evaluates problems hearing clearly due to tinnitus."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Determines how much control the patient feels they have over their tinnitus.",0.100958131253719,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Sense of Control: Determines how much control the patient feels they have over their tinnitus."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.0407683812081814,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Quality of Life: Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Examines the impact of tinnitus on relaxation and quiet activities.",0.0284594912081957,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Relaxation: Examines the impact of tinnitus on relaxation and quiet activities."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.021425049751997,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Cognitive: Captures difficulties in concentration and cognitive tasks due to tinnitus."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.0102292215451598,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Emotional: Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
2,"How strong or loud was your tinnitus?","Intrusive","Evaluates problems hearing clearly due to tinnitus.",0.491291135549545,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Auditory: Evaluates problems hearing clearly due to tinnitus."
2,"How strong or loud was your tinnitus?","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.241697862744331,"Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life.","Intrusive: Measures how much the tinnitus intrudes on consciousness and daily life."
