"QuestionID","QuestionText","IntendedDomain","ComparedDomain","DomainDefinition","SimilarityScore","Theta","ComparedDomainLabel"
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.70492618148016,45.176419327292,"Auditory - Evaluates problems hearing clearly due to tinnitus."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.777384342189293,38.9782918107697,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.699336929108791,45.6261700907639,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.812379652648057,35.6709142187084,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.791950569280681,37.6318293267123,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.766203387216877,39.9858302055324,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.796725424533461,37.1814685717369,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
1,"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.782208740323648,38.5367471851656,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
2,"How strong or loud was your tinnitus?","Intrusive","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.678987028360146,47.2354635102472,"Auditory - Evaluates problems hearing clearly due to tinnitus."
2,"How strong or loud was your tinnitus?","Intrusive","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.727144936143171,43.3524250668625,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
2,"How strong or loud was your tinnitus?","Intrusive","Emotional","Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression).",0.659024150065833,48.7745086693303,"Emotional - Evaluates the emotional distress caused by tinnitus (e.g., anxiety, frustration, depression)."
2,"How strong or loud was your tinnitus?","Intrusive","Intrusive","Measures how much the tinnitus intrudes on consciousness and daily life.",0.775237729216447,39.1734091030506,"Intrusive - Measures how much the tinnitus intrudes on consciousness and daily life."
2,"How strong or loud was your tinnitus?","Intrusive","Quality of Life","Measures the effect of tinnitus on overall enjoyment and engagement in life activities.",0.705427799033,45.1358843462776,"Quality of Life - Measures the effect of tinnitus on overall enjoyment and engagement in life activities."
2,"How strong or loud was your tinnitus?","Intrusive","Relaxation","Examines the impact of tinnitus on relaxation and quiet activities.",0.712979648825897,44.5221322048491,"Relaxation - Examines the impact of tinnitus on relaxation and quiet activities."
2,"How strong or loud was your tinnitus?","Intrusive","Sense of Control","Determines how much control the patient feels they have over their tinnitus.",0.75326483865934,41.1260146908529,"Sense of Control - Determines how much control the patient feels they have over their tinnitus."
2,"How strong or loud was your tinnitus?","Intrusive","Sleep","Assesses the extent to which tinnitus interferes with sleep.",0.728627590525449,43.2285368165144,"Sleep - Assesses the extent to which tinnitus interferes with sleep."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Auditory","Evaluates problems hearing clearly due to tinnitus.",0.694995547425261,45.9731376018524,"Auditory - Evaluates problems hearing clearly due to tinnitus."
3,"What percentage of your time awake were you annoyed by your tinnitus?","Intrusive","Cognitive","Captures difficulties in concentration and cognitive tasks due to tinnitus.",0.761407075243061,40.4115999560686,"Cognitive - Captures difficulties in concentration and cognitive tasks due to tinnitus."
