"Question1","Domain1","Question2","Domain2","Similarity","SameDomain","Theta","QuestionID1","QuestionID2"
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(2) How strong or loud was your tinnitus?","Intrusive",0.853148097022719,"Within-Domain",31.4442572192794,1,2
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(3) What percentage of your time awake were you annoyed by your tinnitus?","Intrusive",0.955710455903244,"Within-Domain",17.116079834235,1,3
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(4) Did you feel in control in regard to your tinnitus?","Sense of Control",0.886439230413284,"Cross-Domain",27.5708428470017,1,4
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(5) How easy was it for you to cope with your tinnitus?","Sense of Control",0.837062008526264,"Cross-Domain",33.1688369078835,1,5
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(6) How easy was it for you to ignore your tinnitus?","Sense of Control",0.842735050697931,"Cross-Domain",32.5699287474132,1,6
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(7) How much did your tinnitus interfere with your ability to concentrate?","Cognitive",0.89785073203158,"Cross-Domain",26.1230219237472,1,7
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(8) How much did your tinnitus interfere with your ability to think clearly?","Cognitive",0.883501964770696,"Cross-Domain",27.9322674048943,1,8
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(9) How much did your tinnitus interfere with your ability to focus attention on other things besides your tinnitus?","Cognitive",0.891240991522743,"Cross-Domain",26.9703940840095,1,9
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(10) How often did your tinnitus make it difficult to fall asleep or stay asleep?","Sleep",0.857431645240932,"Cross-Domain",30.9705802306746,1,10
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(11) How often did your tinnitus cause you difficulty in getting as much sleep as you needed?","Sleep",0.860707698822499,"Cross-Domain",30.6038636302047,1,11
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(12) How much of the time did your tinnitus keep you from sleeping as deeply or as peacefully as you would have liked?","Sleep",0.860624672726746,"Cross-Domain",30.6132063808412,1,12
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(13) How much has your tinnitus interfered with your ability to hear clearly?","Auditory",0.853348698303095,"Cross-Domain",31.4222179031377,1,13
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(14) How much has your tinnitus interfered with your ability to understand people who are talking?","Auditory",0.852830507951258,"Cross-Domain",31.479121227652,1,14
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(15) How much has your tinnitus interfered with your ability to follow conversations in a group or at meetings?","Auditory",0.856562742225153,"Cross-Domain",31.0671889914907,1,15
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(16) How much has your tinnitus interfered with your quiet resting activities?","Relaxation",0.858854502453498,"Cross-Domain",30.8117912327506,1,16
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(17) How much has your tinnitus interfered with your ability to relax?","Relaxation",0.856938148697192,"Cross-Domain",31.0254827485631,1,17
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(18) How much has your tinnitus interfered with your ability to enjoy peace and quiet?","Relaxation",0.846596213707481,"Cross-Domain",32.156637565865,1,18
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(19) How much has your tinnitus interfered with your enjoyment of social activities?","Quality of Life",0.850140286444394,"Cross-Domain",31.7730690126676,1,19
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(20) How much has your tinnitus interfered with your enjoyment of life?","Quality of Life",0.837426503102288,"Cross-Domain",33.1306458089386,1,20
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(21) How much has your tinnitus interfered with your relationships with family, friends, and other people?","Quality of Life",0.814755217103163,"Cross-Domain",35.4368345011554,1,21
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(22) How often did your tinnitus cause you difficulty performing your work or other tasks, such as home maintenance, schoolwork, or caring for children or others?","Quality of Life",0.778243706429809,"Cross-Domain",38.8999490964482,1,22
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(23) How anxious or worried has your tinnitus made you feel?","Emotional",0.83519269425771,"Cross-Domain",33.3640918305187,1,23
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(24) How bothered or upset have you been because of your tinnitus?","Emotional",0.826248197678449,"Cross-Domain",34.2847558154564,1,24
"What percentage of your time awake were you consciously aware of your tinnitus?","Intrusive","(25) How depressed were you because of your tinnitus?","Emotional",0.850240299270951,"Cross-Domain",31.7621847212011,1,25
"How strong or loud was your tinnitus?","Intrusive","(3) What percentage of your time awake were you annoyed by your tinnitus?","Intrusive",0.85920353321761,"Within-Domain",30.7727270743091,2,3
"How strong or loud was your tinnitus?","Intrusive","(4) Did you feel in control in regard to your tinnitus?","Sense of Control",0.838344549636986,"Cross-Domain",33.0342811880907,2,4
